,0,1,2,3
147,8K-HN6sJYc9FddlSrITO-2TSTHyTAfjywUTH4PP2XsBrYjc,i died at alpha,DIAMOND,br1
148,IYwUj-qj8R6JoEkJS-4J1YUmFrAPlM2hQBYqUTy001R46A,poseidon754,DIAMOND,br1
149,k5yEOtP6s-ILtnAKutn3kc9wkzwhMMdNQDy_T76x-QYzLw,AUG Pro,DIAMOND,br1
150,F9Nm11y01JZS49-zQbDFrfEiriKXIwsm2ErlBX_h6LgV2A,BärDöLëö236Br,DIAMOND,br1
151,sQvce4j3muFGwkpTSQyS7MOOmD7sNOAv_Z9VGntUqpRPKQ,Incision,DIAMOND,br1
152,-F2w1q_Tjk502nrMWwQgj2cwX1ARDnZCFbqKQFinf3NBug,ALCATTRA ,DIAMOND,br1
153,58NpXtgxzGNfy8y6K4UZy6iIcxKw3VP66PZUcfbbpIVkQg,GSC Bc,DIAMOND,br1
154,JktS1ALidgXGLfZS9taRhiNoliPT9SDZv0o5KB0n8TwzA-4,Fx Nescau,DIAMOND,br1
155,o79Hf-eZGcJHEMMdDShOr53boyuT3Hr_j12eNqnr5d6ppA,Azog the blessed,DIAMOND,br1
156,ffNAVbFgjmSDyCVY0pPFBVbC-teU6TLGEcEFKCJbs5sFIqM,Bartholomew Rick,DIAMOND,br1
157,DCdgrKAs70ELykbftZhH4dM50Ky_eWvR7lykLtPos1XkJQ,Plantador Peixe,DIAMOND,br1
158,y5TKPoytdvYFSDqyq2giMgfwbBIpt7Qpr3y2i-DuV4R2ng,TEJapa,DIAMOND,br1
159,wpyOyP0xZBHQM1ZwPcu5GASEuPeqgYofBmohHKBK7LTcsg,Sens Fortress,DIAMOND,br1
160,iQqhzTR3mfUIygQeCalw4KenU1MMn2D0Bb7BeZsrbQRFqQ,Katsu Katsu,DIAMOND,br1
161,aJFa-0GTfrCeMTFkC1YO3MMKeo10rW4_ZDZPw5KXTnMDtw,xQcOW,DIAMOND,br1
162,oieZObpU4wRA6TtMKwgvMRqb8g_qWr4IR9K9_xMoaXI5hw,Opyt ZOD ,DIAMOND,br1
163,9Yb91o7JzV-s9yMYbxAMbaR1kyTV6if5sPkylZkBzpr4owc,fireunique,DIAMOND,br1
164,6POfkwNyIXKL-fQnQC8EEVLXbnbuj4-u-7N5SmnjoyVsow,Qu1z,DIAMOND,br1
165,M5mHMddxdGo82O8FK-1IhCUv8WLiXYF_0w-9_vFUUgY5uw,Gabriel Leão,DIAMOND,br1
166,mwnuLIBbbbVT823zMn4ESMtuSNdr18nSkiGeJQKqHpBpP2M,Caillou2812,DIAMOND,br1
167,L2FM48cJgenC7xwdSRQy0oJ1Mvtoh5QwePyDSWA7w4zRBw,O Gato Magro ,DIAMOND,br1
168,bzuAcDNJ2p2FoZQXi_AfZVZhw2vnk9m6RATVGY5xPCfVsw,feel amazing,DIAMOND,br1
169,xKoVHx1AaotlMjCjRKXEyphWa5XN74ltXon__8PfjyP7UQM,Purple Samira,DIAMOND,br1
170,PwbS14P8uz4yK8Fl9YUnZCp1caRLxwveMwSmmabJ2EhmTA,YarG,DIAMOND,br1
171,JoDf62KifoPwG_iiWHM6vibiHyatjB5zsXqaLiAD_f-h6Q,FA comet,DIAMOND,br1
172,DGRNYPMH2iQFXtUIyNP-mEE3IKfJWtWHYrBUJfsCRu9M1g,Bibow the Kidow,DIAMOND,br1
173,AC1iXLWBiuJ1gob4Bo12jKSt6gkmK2zrJS09RLId-W57fA,Entoma,DIAMOND,br1
174,96ZrE9diyWcqvyoVjUhWQbjlot7YtHaxyrWvQ6zcQgj-0TI,é o arthüs,DIAMOND,br1
175,fHLuf8DMGpFqKbOaN8c_HfHzAzbI0Q2d8wZAB5M6mYI5Qa0,509 JÃO,DIAMOND,br1
176,iLq6k8yXmyWCvML-yGWnDpa4_K7VT8tVFd0cifViINk7OFg,coach tinho,DIAMOND,br1
177,kB77Kzy9vdnyqOBtoh51kbZcD6xD9I5Wg8kGfQtIdTXdC9s,TF Master God ,DIAMOND,br1
178,Zcso_jiAPgUUO1lE4BndBxLvwTaURAtx9xEZxFlsM7_3ZD0,Mister o RUIM,DIAMOND,br1
179,AQo3vWXcHo2RyFy6hnLRdT69_4Et78jUPtXhIJEPworW8AM,BestKatWorld,DIAMOND,br1
180,e4mgv5HYOfellSXZBwlnDHXFglFESUKFr9RRxMirvYtLUjg,KILLERGLADIATOR,DIAMOND,br1
181,yK5SSQkMUTSd7qBEm9rerD5sjDSPXc_WmFbxat0_tQkKTJM,Prodigy Wukong,DIAMOND,br1
182,wPb0Nr0TjFiOVVKkuH7UsU64uYlc07TXAGU49LjDogOLUGU,GodKing Byron,DIAMOND,br1
183,4DBHCSGRSFX7ymbWoBi3xV0QXO5Sz8Ws6MRxq1yfhbvf-w,Yuumística,DIAMOND,br1
184,9-eKszhtGog0OLC4D-RjKLIdzlX4XX-uzM_EtFmN_70M8Q,TENTÁCULOS,DIAMOND,br1
185,N9JxKoGgrJ7OUXIQZoQMOs3MeMDT_9PpUr8CG4UDHnTHd_s,Father of Cats,DIAMOND,br1
186,kALS7BpmOXRZUR9ccjWYlwEGn98x-hANqmgTC6HEVDGCBxw,GFN Vaun,DIAMOND,br1
187,MalH6bYEm0qKrbkbiYzJ0548q8a-P1hkUapBC_sHXqn9thg,XesqueMID,DIAMOND,br1
188,KgOazcths_UCRlBugeUUHKOv0DYPZosfMM-SrqCguiWOlPg,CadeOMeuCachorro,DIAMOND,br1
189,_TzYBtMhgUFxXVmagMamKP2wJX5WrHQw0aSWyiDcnTP9Gqw,WE Missing,DIAMOND,br1
190,MUkAm6gg1UF9BobBz_CZLaL9JJR2kA0oy8y0O1xFPOf-sYs,Kurisu,DIAMOND,br1
191,9aVofEMOF_iqk1GZKLsUDFCoi0LHJ_8sTuLc_pSagFYN9EU,Farófão,DIAMOND,br1
192,7GiaqpdcoVsJ3YkHSKo8JS8avDPmT1I97TmP8I81xLEEBPA,Super Harry,DIAMOND,br1
193,hitjknxtPIEyUSdWQyZ1OB_fPvfeCW4r4h3x4bOdIWwpOT4,Eu sei mid,DIAMOND,br1
194,SymR2fqygzBtkUhzsvOlS5MmFjnRlYvMHpGnBsLqrBtD92s,al pedrino,DIAMOND,br1
195,PYhRWwlIT6dt6TBB7F4vEebZc_5cOJ5qUjdBeEfsauYmmj8,Sindelitcis,DIAMOND,br1
196,CHNL8iKPdN9SLq4IAMekTtAzh19BQh-G4yJPvBpihOObdg,MichaeI Jackson,DIAMOND,br1
197,IlNtdVCmU4yzLnjwzt8MAojnlJiGccijacSTINZF2mrzYkY,yurizin motoboy,DIAMOND,br1
198,76JqyxG0h3JSikXdiQkWq9LX82_t-GiR-tmU9lCQi0DJfFc,Kozatto,DIAMOND,br1
199,kqVOYJxP1tcD9Cz837XqQjafaQGwA38_-jUStpIDvCwW6Cc,WS Y1NY4NG,DIAMOND,br1
200,_Sd9klAfZbIcSB8MMCSBLDhDvN_W0NqrCuil5bQHj4exUuo,GamaJhin,DIAMOND,br1
201,JlormHe5OlUUF15h7WCnkXkcJ5Txf0ICqxzfZ7AxTBRtcw,S3nn,DIAMOND,br1
202,JebDt7IsVLoNYbA_fMmUChu7uzKMF740ktT8YhYoxnB20w,ChacaI,DIAMOND,br1
203,-IKMYm9_tr_I1m5LOEoQMa0dSrKUjSbI0nAA8q-DkhSPlTs,kne,DIAMOND,br1
204,Mvlqe42kPu_MspgcLyO3zPE6-cThcQHfe5_3ZaUKEJPhxpY,Tayanashi,DIAMOND,br1
205,2eD-K2ouovCVt8y2Oz5xuRajhXK2NhMzkRxtRgxMCmmwQgc,Graeak Wolfang,PLATINUM,br1
206,Lpl3pO8IzjNQjBQFDT-MLRuQvUNFIBZlHfWVZcIQHAsqmv0,Grandia,PLATINUM,br1
207,ujdW0Tp48RK6XPL0MM_2HYdrajQLnAwj8G6oHIf5HrRa1gY,The Xamps,PLATINUM,br1
208,YLL8Xnpwg9F4-cgVWu9ugpHCmfUaXRnVtC5W82CDatA1yro,LokiFc,PLATINUM,br1
209,UpGHRce9KpQ3UMMbifzvnisiepIryKC1C7so0aDW-ao_Mco,ll Afrodite ll,PLATINUM,br1
210,CnJ5jDKgZY4nOmlMW01h-McWxdxttDc-cOI3F3mzftLLFPw,bengolinha,PLATINUM,br1
211,Dz2efxwLIinVclboVhq5bkY7ktJltVRZwSKenOhcgOy0UkA,XISDE Balaiety,PLATINUM,br1
212,WeFOxdJVtcUcstRLqcJ9QV2VGZMGcBTVjqVl_3X5PLB4zUQ,HeartlessRonin,PLATINUM,br1
213,GnPvLjpuFnYaGkeHxXRSA69ZxbhBrbyZcFG1LqFcG2jUNDo,RA RA RA RATINHO,PLATINUM,br1
