summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
bhtFCLCbe_CfiitY7SAGyLEq_Qm0qcEsrFD7kLZtZes3b88,zhugemeng,61,I,172,178,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
hqC04XofB8tqLj1qusWIGzooqetCt1gjzQvQNK9U-iH_LxJr,drachun,258,I,45,24,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
cDJ35H74llMBQsAJR6fDDZN34QZlNZ7KMIGZ3VfRS8NsZm4,ζξιξ,38,I,131,121,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
hQ0j1vji2HGCtMcbNVo41TxhJDHiPhBanBUhPTZESby3fxix,21 ZΕD,49,I,125,101,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
M2L6KU2xXZPOzHK02h2fjGKW1PlJuj5VHOcfuhn8rpL_16I,Grëëd is Fëëd ,0,I,154,159,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
3lgB0M0bmU8LlrNbvU9TJUPisjh2PHmav6nHWmRClUM65_hO,Deeez nuts,169,I,91,79,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
m7eGFFw5_PQaPvLCTfZL-c_tUYqF9m9ujFpb-uI7k48pYtQ,primal eddy,196,I,72,57,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
HTh79f3nU35D3Ohk4Oa1nDRlTj0iRb0l7T_hOP_i-_NEfj4hH2GQ0JhA1w,walmart wunder,143,I,85,61,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
iA2tCkLw5VAbt-NaeYhohAeexoX64Mm24IRtRvcFD_GYHnE,2Axeszzzzzzzzz,147,I,115,108,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
ZdyIpmwuRlRgLm5xMwZvLlcPPZjXl4ruzWrvcAY2DDPlr_P8,SołdSoulForLp,72,I,29,32,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
dKITSRwz1r1nhLH6sQGTnPAPZdT_SNgSRs-OvbLWyu83AvA,Feejmik,75,I,267,238,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
KzU4bVPun3TPwSbpl3D2q0OM_JhDwKB8vj6fGePnmvQ1nGc,Jοnas Kahnwald,100,I,102,96,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
UeBqdqdPYOVkLDES0rOMFfhklIa3aEGnms4pGUaInu6OfaU,Azurave,34,I,86,81,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
1ZvOzFReyxgSRcNyD--n9JbuAS4izOLqLoFp--P8GLG9Ru4,SLY Eyliph,218,I,68,66,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
BHZQekytT0jZSkPaTEEaqQyRZ9lGhNp9RCub3-zhdm0JRMSA9qlRg8krhg,Magnetta,31,I,63,23,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
YiSqcNS3M8g_BU_izH3Ln5EThVMqgRpr4raS9LQtKYGpyO4,GAP IN THE JAP,98,I,192,167,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
fQabWD62Eb2JsicqmUSkIOXYmpaU8f4eWJYqvGc8tbrJ6srC,BDS Pathéoche,260,I,238,226,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
